ForecastID,Confirmed,Deaths
0,127385,2204
1,5300,38
2,202211,5060
3,61791,811
4,717025,13124
5,57657,1946
6,52979,4467
7,17507,606
8,625813,11278
9,272387,5699
10,8698,73
11,32396,367
12,238647,8246
13,95173,3301
14,65807,1124
15,43183,454
16,49066,940
17,148785,4971
18,4549,132
19,108864,3763
20,128770,9062
21,113548,6758
22,76649,1872
23,83537,2501
24,86820,1555
25,7493,107
26,34545,400
27,69691,1320
28,7289,433
29,192181,15939
30,25514,785
31,435236,32946
32,168932,2723
33,12048,144
34,124276,4158
35,59593,802
36,27002,463
37,139523,7662
38,22070,1049
39,119912,2743
40,13854,168
41,156425,1778
42,636428,12910
43,52447,410
44,1631,58
45,121594,2597
46,75176,1927
47,10383,219
48,76244,1126
49,3867,37
50,128549,2215
51,5338,39
52,202480,5087
53,62407,823
54,722659,13228
55,57859,1949
56,53051,4469
57,17551,606
58,628688,11375
59,274212,5736
60,8915,75
61,32666,373
62,240407,8264
63,96151,3307
64,66373,1133
65,43836,456
66,49652,945
67,149371,5001
68,4571,132
69,109438,3768
70,129044,9063
71,114011,6751
72,77374,1881
73,84342,2535
74,88092,1562
75,7561,108
76,34770,403
77,70218,1333
78,7307,435
79,192483,15950
80,25649,790
81,435737,32942
82,170519,2749
83,12279,144
84,125275,4178
85,60185,806
86,27271,468
87,140229,7670
88,22102,1049
89,120870,2777
90,14237,170
91,157959,1808
92,641089,12990
93,52869,411
94,1637,58
95,122477,2609
96,75610,1936
97,10507,224
98,76888,1131
99,3909,38
100,129805,2237
101,5367,39
102,203153,5120
103,62990,839
104,732163,13353
105,58248,1954
106,53221,4470
107,17650,612
108,631197,11475
109,276094,5787
110,9143,80
111,32927,378
112,242420,8274
113,97169,3313
114,66890,1139
115,44447,460
116,50277,953
117,149931,5030
118,4598,133
119,110054,3781
120,129339,9069
121,114932,6752
122,78151,1887
123,84916,2561
124,89372,1571
125,7639,110
126,34999,407
127,70686,1348
128,7310,434
129,192845,15951
130,25792,795
131,436190,32942
132,172010,2766
133,12499,146
134,126323,4198
135,60739,811
136,27545,472
137,140944,7674
138,22107,1049
139,121775,2802
140,14661,172
141,159302,1834
142,645273,13066
143,53214,415
144,1643,58
145,123303,2620
146,76159,1943
147,10628,229
148,77500,1137
149,3917,38
150,131026,2256
151,5401,40
152,203515,5167
153,63558,852
154,736434,13418
155,58524,1954
156,53301,4469
157,17719,612
158,633483,11579
159,277939,5858
160,9368,83
161,33198,383
162,244203,8291
163,98123,3319
164,67321,1146
165,44927,462
166,50860,959
167,150543,5052
168,4622,133
169,110721,3786
170,129507,9071
171,115532,6754
172,78875,1891
173,85597,2592
